cluster_id,anon_item_id,anon_slr_id,vs,vb,rounds_total,s0,b1,s1,b2,s2,b3,s3,Vs_min,Vs_max,flag_add_Vsmax,Vs_idx
0,2949,196,82,66,2,82,18,82,26.0,D,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,2,90,38,86,38.0,D,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,1,86,78,D,,,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,2,94,34,82,46.0,D,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,3,90,26,86,30.0,86,30.0,82,78.0,82.0,0.0,2949.0
0,2949,196,82,66,2,98,26,86,74.0,86,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,3,98,14,94,14.0,90,26.0,D,78.0,82.0,0.0,2949.0
0,2949,196,82,66,3,86,78,82,78.0,82,78.0,82,78.0,82.0,0.0,2949.0
0,2949,196,82,66,1,82,62,82,,,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,1,98,62,86,,,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,1,94,34,82,,,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,1,90,14,D,,,,,78.0,82.0,0.0,2949.0
0,2949,196,82,66,1,98,62,D,,,,,78.0,82.0,0.0,2949.0
2,1321,687,18,46,1,58,30,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,74,46,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,74,22,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,58,38,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,3,90,14,18,14.0,18,14.0,18,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,82,30,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,30,26,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,54,38,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,3,78,14,30,14.0,26,18.0,A,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,82,50,A,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,98,10,D,,,,,14.0,18.0,0.0,10288.0
2,1321,687,18,46,3,26,14,18,14.0,18,14.0,18,14.0,18.0,0.0,10288.0
2,1321,687,18,46,1,30,18,A,,,,,14.0,18.0,0.0,10288.0
2,1724,713,74,86,1,82,10,D,,,,,46.0,74.0,0.0,10691.0
2,1724,713,74,86,1,74,10,D,,,,,46.0,74.0,0.0,10691.0
