cluster_id,anon_item_id,anon_slr_id,vs,vb,rounds_total,s0,b1,s1,b2,s2,b3,s3
0,0,0,90,86,3,98,18,98,30.0,90,82.0,D
0,0,0,90,86,2,90,42,90,42.0,D,,
0,0,0,90,86,2,98,66,94,74.0,D,,
0,0,0,90,86,2,98,66,98,70.0,D,,
0,0,0,90,86,1,98,14,94,,,,
0,0,0,90,86,3,98,10,94,34.0,94,50.0,94
0,0,0,90,86,1,94,54,90,,,,
0,0,0,90,86,2,90,30,90,38.0,D,,
0,0,0,90,86,1,98,46,D,,,,
0,0,0,90,86,2,94,22,94,34.0,D,,
0,0,0,90,86,1,98,26,94,,,,
0,1,0,74,74,2,74,38,74,42.0,D,,
0,1,0,74,74,3,78,66,78,66.0,78,74.0,A
0,1,0,74,74,2,90,10,74,42.0,D,,
0,1,0,74,74,2,78,42,74,66.0,D,,
0,1,0,74,74,1,78,54,78,,,,
0,1,0,74,74,1,94,38,D,,,,
0,1,0,74,74,1,90,22,D,,,,
0,1,0,74,74,1,86,22,D,,,,
0,1,0,74,74,2,74,42,74,42.0,D,,
0,1,0,74,74,3,82,30,78,46.0,78,50.0,D
0,2,0,66,74,3,74,22,74,38.0,66,38.0,D
0,2,0,66,74,1,86,34,74,,,,
0,2,0,66,74,3,74,26,66,26.0,66,30.0,66
0,2,0,66,74,1,94,34,D,,,,
0,2,0,66,74,1,94,38,74,,,,
0,2,0,66,74,3,70,14,70,14.0,70,14.0,D
0,2,0,66,74,1,98,14,66,,,,
0,2,0,66,74,1,74,66,A,,,,
0,2,0,66,74,3,90,50,78,58.0,74,58.0,D
0,2,0,66,74,1,78,10,D,,,,
0,2,0,66,74,2,66,30,66,34.0,D,,
0,2,0,66,74,2,90,10,66,10.0,66,,
0,2,0,66,74,1,70,14,D,,,,
0,2,0,66,74,1,86,82,A,,,,
0,3,0,90,30,2,98,18,90,22.0,90,,
0,3,0,90,30,1,94,10,94,,,,
0,3,0,90,30,2,98,54,98,66.0,94,,
0,3,0,90,30,3,98,62,98,70.0,98,86.0,90
0,3,0,90,30,1,90,10,D,,,,
0,3,0,90,30,1,98,14,98,,,,
0,3,0,90,30,1,94,90,A,,,,
0,3,0,90,30,1,90,70,D,,,,
0,3,0,90,30,2,94,54,90,62.0,D,,
0,3,0,90,30,3,94,10,94,10.0,90,10.0,D
0,3,0,90,30,2,90,82,90,86.0,D,,
0,3,0,90,30,1,94,10,94,,,,
0,3,0,90,30,1,90,10,D,,,,
0,3,0,90,30,1,90,38,D,,,,
0,4,0,82,70,2,94,26,82,34.0,D,,
0,4,0,82,70,3,86,46,86,58.0,82,62.0,D
0,4,0,82,70,1,98,14,94,,,,
0,4,0,82,70,2,94,14,90,14.0,D,,
0,4,0,82,70,1,86,26,D,,,,
0,4,0,82,70,2,82,10,82,26.0,82,,
0,4,0,82,70,1,94,26,82,,,,
0,4,0,82,70,2,82,54,82,70.0,D,,
0,4,0,82,70,2,98,46,82,46.0,D,,
0,4,0,82,70,2,94,38,82,38.0,D,,
0,4,0,82,70,1,94,22,D,,,,
0,4,0,82,70,1,90,10,82,,,,
0,4,0,82,70,3,86,18,82,46.0,82,62.0,D
0,5,0,90,14,2,94,26,90,26.0,D,,
0,5,0,90,14,3,90,18,90,18.0,90,22.0,90
0,5,0,90,14,1,90,10,90,,,,
0,5,0,90,14,1,98,26,90,,,,
0,5,0,90,14,1,94,50,D,,,,
0,5,0,90,14,1,94,50,90,,,,
0,5,0,90,14,1,98,26,98,,,,
0,5,0,90,14,1,98,42,98,,,,
0,6,0,62,66,1,74,18,D,,,,
0,7,0,78,70,2,78,34,78,34.0,D,,
0,7,0,78,70,1,82,66,D,,,,
0,8,0,86,74,3,90,46,86,74.0,86,74.0,86
0,8,0,86,74,2,90,34,90,34.0,86,,
0,8,0,86,74,1,86,14,D,,,,
0,8,0,86,74,2,94,22,94,58.0,D,,
0,8,0,86,74,1,94,38,D,,,,
0,8,0,86,74,2,98,10,98,14.0,86,,
0,8,0,86,74,2,94,38,90,62.0,D,,
0,8,0,86,74,1,94,10,D,,,,
0,8,0,86,74,1,94,82,90,,,,
0,8,0,86,74,1,90,22,D,,,,
0,9,0,98,22,1,98,14,D,,,,
0,9,0,98,22,1,98,54,98,,,,
0,9,0,98,22,1,98,22,D,,,,
0,9,0,98,22,1,98,34,98,,,,
0,9,0,98,22,2,98,34,98,34.0,98,,
0,9,0,98,22,1,98,58,98,,,,
0,9,0,98,22,2,98,14,98,14.0,D,,
0,9,0,98,22,1,98,10,98,,,,
0,9,0,98,22,1,98,94,D,,,,
0,9,0,98,22,1,98,42,98,,,,
0,9,0,98,22,1,98,94,D,,,,
0,9,0,98,22,3,98,42,98,58.0,98,58.0,D
0,10,0,74,14,3,78,62,74,62.0,74,62.0,D
0,10,0,74,14,1,94,30,86,,,,
0,10,0,74,14,1,90,14,82,,,,
0,10,0,74,14,1,94,70,82,,,,
0,10,0,74,14,1,82,70,D,,,,
0,10,0,74,14,1,78,62,D,,,,
0,10,0,74,14,2,90,42,82,42.0,D,,
0,10,0,74,14,1,90,10,82,,,,
0,10,0,74,14,1,82,14,78,,,,
0,10,0,74,14,2,90,14,86,18.0,D,,
0,10,0,74,14,1,86,14,D,,,,
0,10,0,74,14,2,82,14,74,14.0,D,,
0,10,0,74,14,1,78,62,D,,,,
0,11,0,58,54,2,90,54,90,58.0,74,,
0,11,0,58,54,1,78,22,74,,,,
0,11,0,58,54,2,62,22,62,30.0,58,,
0,11,0,58,54,1,62,34,D,,,,
0,11,0,58,54,1,62,18,D,,,,
0,11,0,58,54,1,70,10,D,,,,
0,11,0,58,54,1,62,58,A,,,,
0,11,0,58,54,1,70,50,66,,,,
0,11,0,58,54,3,94,38,62,46.0,62,46.0,62
